band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,338938200.0,196374074.64000002,552711953.2800008,421.84153380625145,123.97442153925321,696.2379013214014,45000.0
5,173710880.0,100162535.68,327317628.32000005,628.0300502324186,108.21224993144274,1663.238823812266,117000.0
8,67275040.0,35072778.68,170615183.36000013,1363.7306711570172,99.36559894479981,3639.2346303200993,189000.0
11,31971494.0,14998647.105,102286644.04000016,2698.317761598677,93.6809326877495,4889.275341978068,495000.0
14,12705598.0,6076386.585,39761867.80000003,2654.295126084253,86.30503703961344,4711.628850207902,1134000.0
17,7576061.0,2721037.56375,43174417.88000018,12164.64205914585,72.31708665877545,7907.979432017936,2574000.0
20,3612940.2,1492382.5475,16059804.155000133,5707.630235503777,75.89004534456309,6510.2433861317,5967000.0
23,1682205.9,544084.9009375001,10665812.405000145,14689.195826999556,66.17716653376355,8234.634666201084,13887000.0
26,1053356.0,153341.93351562502,10858865.200000001,32939.26957421143,74.59862613472772,9373.830747671382,31968000.0
29,109293.61,19582.491904296876,868887.7584382734,27951.705681727886,85.44221061159999,9154.596205631851,73701000.0
32,3646.441,2053.490461425781,8570.061206054688,1185.7648140897104,81.10658705284676,2850.0376602946917,59634000.0
