band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05
2,258505000.0,158928370.0,407882050.0,356.08157,99.1333,600.4443,45000.0,0.16,1.0,0.010912780924055704,0.0063984224173442
5,152978510.0,86311510.0,311299740.0,813.59064,103.77999,2060.548,117000.0,0.16,0.7,0.011255502454645683,0.003969010248311788
8,51216776.0,30030232.0,95833080.0,612.8061,92.325806,1727.8018,189000.0,0.18,1.5,0.008814298388986647,0.003123040397909581
11,30906166.0,12614540.0,127853150.0,5769.239,83.0579,6259.8403,495000.0,0.19,1.7,0.00839720932034449,0.0019299803152697053
14,10556804.0,5359151.0,34582852.0,2610.0828,75.71078,4860.0464,1134000.0,0.2,2.0,0.006293985498434296,0.0012751894232635628
17,6451851.0,2578067.5,33936850.0,11181.922,65.416466,7685.5044,2574000.0,0.2,1.5,0.006467428943689832,0.0008464353782179778
20,3491903.0,1486022.9,17120646.0,6724.6265,70.291565,6708.6846,5967000.0,0.19,0.7,0.006697116673498538,0.0005559445407404772
23,1724653.2,591100.3,11486877.0,16738.59,63.702858,8285.558,13887000.0,0.2,0.6,0.0124524284930973,0.0003644288842482448
26,1045735.8,169787.45,10570935.0,32596.104,71.61246,9318.733,31968000.0,0.2,0.1,0.008530509967488609,0.0002401951053511448
29,111884.68,21236.27,904638.9,26453.193,91.602455,9072.577,73701000.0,0.22,-0.2,0.013606919025966668,0.00015819341995114793
32,4155.7266,2176.4397,11599.141,1816.9076,91.58009,3932.401,59634000.0,0.29,0.1,0.01745757737426631,0.00017586420018087293
