band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,iter2_r,iter2_eta,kstest_stat_iter2,n_pval_0.05
2,258505000.0,158928370.0,407882050.0,356.08157,99.1333,600.4443,45000.0,0.16,1.0,0.0109127809240557,0.0063984224173442,0.0444317214601078,0.14,0.1611,1.057,0.00940515944318604,0.1611,1.057,0.00940515944318604,0.1611,1.057,0.00940515944318604,21357
5,152978510.0,86311510.0,311299740.0,813.59064,103.77999,2060.548,117000.0,0.16,0.7,0.0112555024546456,0.0039690102483117,0.0520689393386358,0.14,0.162,0.809,0.008429548492968786,0.1618,0.799,0.008569332856036782,0.162,0.809,0.008429548492968786,24678
8,51216776.0,30030232.0,95833080.0,612.8061,92.325806,1727.8018,189000.0,0.18,1.5,0.0088142983889866,0.0031230403979095,0.0453448697155484,0.15,0.1784,1.39,0.007285595053516114,0.1785,1.396,0.007316676531062494,0.1784,1.39,0.007285595053516114,35437
11,30906166.0,12614540.0,127853150.0,5769.239,83.0579,6259.8403,495000.0,0.19,1.7,0.0083972093203444,0.0019299803152697,0.0443910841010175,0.15,0.1876,1.626,0.005689922934965397,0.1877,1.633,0.005714673150858246,0.1876,1.626,0.005689922934965397,58729
14,10556804.0,5359151.0,34582852.0,2610.0828,75.71078,4860.0464,1134000.0,0.2,2.0,0.0062939854984342,0.0012751894232635,0.0486018417812472,0.16,0.1986,1.903,0.005177036609421259,0.1987,1.909,0.005211131718584006,0.1986,1.903,0.005177036609421259,70875
17,6451851.0,2578067.5,33936850.0,11181.922,65.416466,7685.5044,2574000.0,0.2,1.5,0.0064674289436898,0.0008464353782179,0.0403605761595009,0.16,0.1974,1.413,0.003629222782176353,0.1975,1.419,0.0036431215632408438,0.1974,1.413,0.003629222782176353,135736
20,3491903.0,1486022.9,17120646.0,6724.6265,70.291565,6708.6846,5967000.0,0.19,0.7,0.0066971166734985,0.0005559445407404,0.0288265522425901,0.17,0.1927,0.815,0.0043286382502517595,0.1925,0.807,0.0043974120002887584,0.1927,0.815,0.0043286382502517595,99558
23,1724653.2,591100.3,11486877.0,16738.59,63.702858,8285.558,13887000.0,0.2,0.6,0.0124524284930973,0.0003644288842482,0.0267606608242136,0.18,0.1977,0.58,0.005469228044667873,0.1977,0.58,0.005469228044667873,0.1977,0.58,0.005469228044667873,61026
26,1045735.8,169787.45,10570935.0,32596.104,71.61246,9318.733,31968000.0,0.2,0.1,0.0085305099674886,0.0002401951053511,0.0293585042388651,0.2,0.2014,0.145,0.006073382500446423,0.2014,0.145,0.006073382500446423,0.2014,0.145,0.006073382500446423,52680
29,111884.68,21236.27,904638.9,26453.193,91.602455,9072.577,73701000.0,0.22,-0.2,0.0136069190259666,0.0001581934199511,0.0221649375841118,0.23,0.2191,-0.228,0.009940693334922646,0.2191,-0.228,0.009940693334922646,0.2191,-0.228,0.009940693334922646,17993
32,4155.7266,2176.4397,11599.141,1816.9076,91.58009,3932.401,59634000.0,0.29,0.1,0.0174575773742663,0.0001758642001808,0.0191029478223941,0.28,0.2823,0.01,0.014771556170115784,0.283,0.02,0.014928803565226224,0.2823,0.01,0.014771556170115784,8188
