band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,45000.0,0.16,1.0,0.0109127809240557,0.1611,1.057,0.00940515944318604,21357
5,117000.0,0.16,0.7,0.0112555024546456,0.162,0.809,0.008429548492968786,24678
8,189000.0,0.18,1.5,0.0088142983889866,0.1784,1.39,0.007285595053516114,35437
11,495000.0,0.19,1.7,0.0083972093203444,0.1876,1.626,0.005689922934965397,58729
14,1134000.0,0.2,2.0,0.0062939854984342,0.1986,1.903,0.005177036609421259,70875
17,2574000.0,0.2,1.5,0.0064674289436898,0.1974,1.413,0.003629222782176353,135736
20,5967000.0,0.19,0.7,0.0066971166734985,0.1927,0.815,0.0043286382502517595,99558
23,13887000.0,0.2,0.6,0.0124524284930973,0.1977,0.58,0.005469228044667873,61026
26,31968000.0,0.2,0.1,0.0085305099674886,0.2014,0.145,0.006073382500446423,52680
29,73701000.0,0.22,-0.2,0.0136069190259666,0.2191,-0.228,0.009940693334922646,17993
32,59634000.0,0.29,0.1,0.0174575773742663,0.2823,0.01,0.014771556170115784,8188
