band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,299433540.0,175934100.0,509074180.0,473.18463,99.1504,1014.4304,45000.0,0.16,1.0,0.0124725442900713,0.0063984224173442,0.0486095708021241,0.14,0.161,1.1,0.0083618520975658,0.161,1.1,0.0083618520975658,25312,5561.47,0.0464049,1.1973599999999995e-84,4952.64,0.0209995,1.1403e-17,3921.34,0.0180833,3.2615e-13,0.0036781493
5,198747680.0,95555010.0,699319550.0,2945.4336,103.131584,5357.3315,117000.0,0.17,1.3,0.0122256845354906,0.0039690102483117,0.0410488142816816,0.14,0.168,1.21,0.0094344053671608,0.168,1.21,0.0094344053671608,21937,3885.58,0.0450415,1.0595899999999997e-206,3450.63,0.0200227,3.54313e-41,2723.14,0.0154563,1.0408900000000001e-24,1.7893953e-09
8,63282876.0,35275360.0,138901260.0,918.95044,92.98185,2773.2476,189000.0,0.17,1.0,0.0114836308648222,0.0031230403979095,0.0492708122902612,0.15,0.17,0.97,0.0058856344075527,0.17,0.97,0.0058856344075527,53155,2579.32,0.0408071,6.612169999999999e-274,2298.21,0.0158361,1.33347e-41,1810.09,0.0124733,5.69521e-26,4.0978679e-06
11,36580880.0,14838584.0,157073860.0,6517.1216,79.5228,6402.979,495000.0,0.18,1.2,0.005724590920087,0.0019299803152697,0.0331043299783438,0.15,0.178,1.12,0.0045671264175037,0.178,1.12,0.0045671264175037,92812,1873.48,0.0381848,0.0,1663.04,0.0129654,1.0448799999999999e-72,1320.82,0.0108059,1.2366999999999998e-50,2.1451823e-09
14,11849475.0,6219774.5,33301018.0,1856.4797,73.469666,4078.704,1134000.0,0.18,0.9,0.0044867209500745,0.0012751894232635,0.0465316408892202,0.16,0.182,0.99,0.002741343689594,0.182,0.99,0.002741343689594,239202,1298.89,0.038303,0.0,1146.5,0.0119677,1.671049999999999e-141,921.107,0.0110815,2.2011199999999987e-121,7.9094574e-08
17,7712681.0,2961589.0,38807548.0,9698.964,65.48385,7453.9814,2574000.0,0.19,1.0,0.0087687472361829,0.0008464353782179,0.0322036715360034,0.16,0.187,0.92,0.002548096196903,0.187,0.92,0.002548096196903,271476,925.135,0.0392253,0.0,815.655,0.0129168,0.0,655.206,0.0112266,3.2495399999999993e-282,6.0819182e-15
20,4424362.0,1715439.8,23333856.0,8663.62,69.63403,7121.583,5967000.0,0.2,1.2,0.0089764916425213,0.0005559445407404,0.0313015444035307,0.17,0.198,1.1,0.00778755952812,0.198,1.1,0.00778755952812,29497,654.557,0.0421526,0.0,577.981,0.0163802,0.0,462.101,0.0129436,0.0,
23,1867623.2,629367.1,12235534.0,16824.38,62.493916,8304.521,13887000.0,0.2,0.7,0.0111480130187466,0.0003644288842482,0.024805973797815,0.18,0.198,0.61,0.0072468765267879,0.198,0.61,0.0072468765267879,34326,382.708,0.0448114,0.0,338.947,0.019541,0.0,269.371,0.0148357,0.0,0.0
26,1038924.0,166929.73,9786948.0,32372.2,72.06781,9321.79,31968000.0,0.2,0.1,0.0120223262540711,0.0002401951053511,0.0199105421925506,0.2,0.198,0.03,0.0068174329242985,0.198,0.03,0.0068174329242985,39508,168.668,0.0505547,0.0,150.24,0.025412,0.0,118.119,0.0205961,0.0,0.0
29,162784.4,20970.46,1695741.2,37523.438,87.71749,9485.272,73701000.0,0.23,-0.1,0.0178025735248579,0.0001581934199511,0.0274072440218475,0.24,0.222,-0.2,0.0123670732919426,0.222,-0.2,0.0123670732919426,12154,50.281,0.0575599,0.0,44.9125,0.0329738,0.0,35.3111,0.027184,0.0,0.0
