band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0
2,299433540.0,175934100.0,509074180.0,473.18463,99.1504,1014.4304,45000.0,0.16,1.0,0.0124725442900713,0.0063984224173442,0.048609570802124136,0.14
5,198747680.0,95555010.0,699319550.0,2945.4336,103.131584,5357.3315,117000.0,0.17,1.3,0.0122256845354906,0.0039690102483117,0.0410488142816816,0.14
8,63282876.0,35275360.0,138901260.0,918.95044,92.98185,2773.2476,189000.0,0.17,1.0,0.0114836308648222,0.0031230403979095,0.0492708122902612,0.15
11,36580880.0,14838584.0,157073860.0,6517.1216,79.5228,6402.979,495000.0,0.18,1.2,0.005724590920087,0.0019299803152697,0.03310432997834388,0.15
14,11849475.0,6219774.5,33301018.0,1856.4797,73.469666,4078.704,1134000.0,0.18,0.9,0.0044867209500745,0.0012751894232635,0.046531640889220294,0.16
17,7712681.0,2961589.0,38807548.0,9698.964,65.48385,7453.9814,2574000.0,0.19,1.0,0.0087687472361829,0.0008464353782179,0.03220367153600347,0.16
20,4424362.0,1715439.8,23333856.0,8663.62,69.63403,7121.583,5967000.0,0.2,1.2,0.0089764916425213,0.0005559445407404,0.03130154440353072,0.17
23,1867623.2,629367.1,12235534.0,16824.38,62.493916,8304.521,13887000.0,0.2,0.7,0.0111480130187466,0.0003644288842482,0.024805973797815073,0.18
26,1038924.0,166929.73,9786948.0,32372.2,72.06781,9321.79,31968000.0,0.2,0.1,0.0120223262540711,0.0002401951053511,0.019910542192550618,0.2
29,162784.4,20970.46,1695741.2,37523.438,87.71749,9485.272,73701000.0,0.23,-0.1,0.0178025735248579,0.0001581934199511,0.027407244021847577,0.24
