band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0
2,443144800.0,204059650.0,1172902700.0,1951.2109,93.38999,3809.454,45000.0,0.16,1.1,0.0117997256129378,0.0063984224173442,0.06457933056928977,0.14
5,242532050.0,116765060.0,637678660.0,1732.7407,102.45985,3959.4731,117000.0,0.17,1.5,0.0112008584490015,0.0039690102483117,0.026639797612306976,0.14
8,75098780.0,41355424.0,165232860.0,997.55035,76.81663,2699.5813,189000.0,0.17,1.1,0.006730527083013,0.0031230403979095,0.07339817991908837,0.15
11,66805550.0,19091832.0,428698660.0,13976.008,62.87747,8349.733,495000.0,0.18,1.4,0.0064113531489488,0.0019299803152697,0.039361766763984285,0.15
14,19646696.0,9259367.0,74271870.0,4449.843,48.65339,6157.9995,1134000.0,0.19,1.7,0.0069256513932672,0.0012751894232635,0.045338591236949374,0.15
17,9104094.0,4527121.0,34048764.0,4455.6323,42.4029,6093.364,2574000.0,0.19,1.4,0.0084782703595424,0.0008464353782179,0.044811873093089205,0.16
20,4104359.8,2023370.9,13520171.0,3024.8623,61.90266,4879.5195,5967000.0,0.19,0.9,0.0058269343279118,0.0005559445407404,0.05587613402523217,0.17
23,1838955.8,676133.8,10533605.0,11453.02,71.84764,7815.2046,13887000.0,0.21,1.1,0.01009144896269,0.0003644288842482,0.043248408067130206,0.18
26,1165549.6,200796.17,11037528.0,27543.828,79.598564,9199.39,31968000.0,0.2,0.2,0.0079695635683861,0.0002401951053511,0.021175799056435962,0.19
29,389424.38,25620.342,3816463.8,38067.582,100.88522,9678.418,73701000.0,0.23,0.1,0.0107881574685005,0.0001581934199511,0.01952973553193532,0.23
32,12687.414,2705.703,78691.86,13939.495,95.46198,8480.346,59634000.0,0.29,0.4,0.0103674558946154,0.0001758642001808,0.022571387640392238,0.27
