band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,999561700.0,204592572.24000007,2628283943.68,2560.4480943385083,254.06494592699528,4885.991132898156,45000.0,0.17,1.6,0.0117573935280552,0.0063984224173442,0.0370973168865024,0.14,0.169,1.55,0.0099928883035042,0.169,1.55,0.0099928883035042,18984,5164.9,0.0435296,1.5683499999999998e-74,4579.53,0.0186963,4.28421e-14,3625.26,0.0138925,5.66194e-08,0.00024829984
5,822668160.0,107130332.12,4312076380.160004,11296.462093993225,211.9341692426372,8693.059848233199,117000.0,0.16,0.7,0.0106261803646663,0.0039690102483117,0.0549078036216531,0.14,0.162,0.79,0.0084432890393216,0.162,0.79,0.0084432890393216,24678,3541.55,0.0419108,5.173599999999997e-179,3147.1,0.0183325,1.3774600000000003e-34,2498.44,0.0116669,2.91358e-14,1.1317045e-07
8,268978080.0,40919289.2,1513901633.280026,12397.882607100895,231.8604272443906,8746.283018448592,189000.0,0.17,0.9,0.0093570909923701,0.0031230403979095,0.0431101735065065,0.15,0.171,0.95,0.0087942940996508,0.171,0.95,0.0087942940996508,23625,2388.67,0.0368231,4.24411e-223,2104.64,0.0134997,2.39062e-30,1696.76,0.00687247,3.51072e-08,3.9990235e-13
11,104379220.0,16437441.97,477483033.6,7007.382374854295,198.4251734393029,8168.126969208415,495000.0,0.19,1.7,0.0074279971395228,0.0019299803152697,0.0459882236742235,0.15,0.188,1.63,0.0056840608275103,0.188,1.63,0.0056840608275103,58729,1738.73,0.0341484,0.0,1537.44,0.01078,2.1511e-50,1238.81,0.0057282,1.55449e-14,2.5596532e-14
14,35322284.0,6649203.420000001,155114902.08000013,6816.936434853154,155.40467689689595,7821.21667686844,1134000.0,0.2,1.9,0.0078403236731009,0.0012751894232635,0.046173623623364,0.16,0.198,1.84,0.0048700592379232,0.198,1.84,0.0048700592379232,79734,1232.52,0.0330456,0.0,1085.36,0.0086833,1.0747999999999998e-74,884.361,0.00584277,4.722080000000001e-34,8.677251800000001e-24
17,17681448.0,3249794.3887500004,90895243.8800008,8762.24484741697,140.5492067588699,8233.500967057227,2574000.0,0.2,1.5,0.0050874225306012,0.0008464353782179,0.0421086051092383,0.16,0.198,1.42,0.0036121694695424,0.198,1.42,0.0036121694695424,135736,880.826,0.0347781,0.0,774.344,0.00944151,9.977009999999996e-200,627.845,0.00705668,9.247869999999995e-112,1.3441954000000003e-29
20,5851414.5,1784321.5768750005,22182872.73000001,4678.85777145707,125.97967484534084,6448.189289963609,5967000.0,0.19,0.7,0.0064143737181197,0.0005559445407404,0.0261376281850345,0.17,0.192,0.77,0.004353404824672,0.192,0.77,0.004353404824672,93234,611.44,0.0399668,0.0,538.882,0.0144572,0.0,432.979,0.010522,0.0,1.1839093999999992e-98
23,3808226.2,689270.8215625001,26820473.96000003,16237.410318081958,112.20886844649952,8765.996130580104,13887000.0,0.2,0.6,0.0093053133328724,0.0003644288842482,0.0238760997504413,0.18,0.198,0.57,0.0057993877357403,0.198,0.57,0.0057993877357403,54246,369.448,0.042902,0.0,326.61,0.0179836,0.0,260.676,0.012713,0.0,0.0
26,1856457.5,179856.75328125,18140651.33000002,34364.81927311539,99.1338867651584,9564.7477582323,31968000.0,0.2,0.1,0.0077213192042135,0.0002401951053511,0.0252459565497482,0.2,0.201,0.12,0.0065986922654868,0.201,0.12,0.0065986922654868,44446,173.027,0.0484503,0.0,153.999,0.0233253,0.0,121.318,0.0184863,0.0,0.0
29,155747.58,22201.8567578125,971773.710625,16498.633761851434,112.68590667962796,8910.249359269194,73701000.0,0.22,-0.2,0.0175962558364147,0.0001581934199511,0.0264893074048978,0.23,0.218,-0.26,0.0108859006943009,0.218,-0.26,0.0108859006943009,15180,51.1614,0.0562644,0.0,45.6962,0.0318427,0.0,35.9792,0.0257868,0.0,0.0
