band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05
2,999561700.0,204592580.0,2628284000.0,2560.448,254.06493,4885.9946,45000.0,0.17,1.6,0.0117573935280552,0.0063984224173442,0.0370973168865024,0.14,0.169,1.55,0.009992888303504224,0.169,1.55,0.009992888303504224,18984
5,822668160.0,107130340.0,4312078300.0,11296.463,211.93416,8693.06,117000.0,0.16,0.7,0.0106261803646663,0.0039690102483117,0.0549078036216531,0.14,0.162,0.79,0.008443289039321678,0.162,0.79,0.008443289039321678,24678
8,268978080.0,40919290.0,1513917300.0,12397.883,231.86043,8746.288,189000.0,0.17,0.9,0.0093570909923701,0.0031230403979095,0.0431101735065065,0.15,0.171,0.95,0.008794294099650823,0.171,0.95,0.008794294099650823,23625
11,104379220.0,16437442.0,477483070.0,7007.3823,198.42516,8168.139,495000.0,0.19,1.7,0.0074279971395228,0.0019299803152697,0.0459882236742235,0.15,0.188,1.63,0.005684060827510313,0.188,1.63,0.005684060827510313,58729
14,35322284.0,6649203.5,155114980.0,6816.9365,155.40468,7821.2173,1134000.0,0.2,1.9,0.0078403236731009,0.0012751894232635,0.046173623623364,0.16,0.198,1.84,0.004870059237923274,0.198,1.84,0.004870059237923274,79734
17,17681448.0,3249794.5,90895730.0,8762.245,140.5492,8233.505,2574000.0,0.2,1.5,0.0050874225306012,0.0008464353782179,0.0421086051092383,0.16,0.198,1.42,0.0036121694695424,0.198,1.42,0.0036121694695424,135736
20,5851414.5,1784321.6,22182880.0,4678.858,125.979675,6448.191,5967000.0,0.19,0.7,0.0064143737181197,0.0005559445407404,0.0261376281850345,0.17,0.192,0.77,0.0043534048246720025,0.192,0.77,0.0043534048246720025,93234
23,3808226.2,689270.8,26820492.0,16237.41,112.20886,8765.997,13887000.0,0.2,0.6,0.0093053133328724,0.0003644288842482,0.0238760997504413,0.18,0.198,0.57,0.005799387735740333,0.198,0.57,0.005799387735740333,54246
26,1856457.5,179856.75,18140664.0,34364.82,99.13389,9564.748,31968000.0,0.2,0.1,0.0077213192042135,0.0002401951053511,0.0252459565497482,0.2,0.201,0.12,0.006598692265486816,0.201,0.12,0.006598692265486816,44446
29,155747.58,22201.857,971773.75,16498.633,112.685905,8910.251,73701000.0,0.22,-0.2,0.0175962558364147,0.0001581934199511,0.0264893074048978,0.23,0.218,-0.26,0.010885900694300954,0.218,-0.26,0.010885900694300954,15180
32,13604.016,2322.3442,84511.875,14057.532,96.955154,8716.859,59634000.0,0.27,-0.2,0.015373991810575,0.0001758642001808,0.0224326906644369,0.29,0.268,-0.2,0.01300799981457701,0.268,-0.2,0.01300799981457701,10918
