band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,45000.0,0.16,1.0,0.0083100692800929,0.158,0.91,0.005344192346670152,67500
5,117000.0,0.17,1.3,0.0109932628325892,0.168,1.2,0.008958180581407071,21937
8,189000.0,0.18,1.5,0.0099463386154285,0.178,1.42,0.007674947322143629,29898
11,495000.0,0.18,1.2,0.0052596939226164,0.178,1.11,0.004162672898155669,104413
14,1134000.0,0.19,1.4,0.0062221100601007,0.189,1.33,0.004784187910503808,79734
17,2574000.0,0.19,1.0,0.0064581244748578,0.187,0.9,0.0027324324178443857,241312
20,5967000.0,0.19,0.7,0.0061515034165581,0.188,0.65,0.003946128557256401,117997
23,13887000.0,0.19,0.3,0.0100180376725071,0.192,0.38,0.005966131706233779,54246
26,31968000.0,0.21,0.3,0.0128712420753727,0.206,0.22,0.00982051999342623,19753
29,73701000.0,0.21,-0.4,0.0157761416754094,0.215,-0.32,0.011315514452592407,15180
