band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,166042.38,157998.03046875,174433.438828125,1.6213518440011452,1.1836830818584758,2.159778026202132,31800.0,0.29,7.5,0.004659895738945,0.0076105772670922,0.0524483673147195,0.18,0.29,7.49,0.0043305270321885,0.29,7.49,0.0043305270321885,101871,369.956,0.013885,9.36811e-06,327.662,0.0176785,4.60212e-09,266.536,0.0210686,1.07938e-12,0.58833414
5,88873.2,84620.583671875,93301.8328515625,1.5568817105375024,1.03486693981929,2.247035734747494,41340.0,0.29,6.1,0.0032412993637708,0.0066754871311422,0.0688999324191177,0.18,0.29,6.09,0.0028394222523872,0.29,6.09,0.0028394222523872,235443,274.631,0.0117086,2.37091e-05,241.588,0.0189844,2.25552e-13,197.189,0.0216837,2.57041e-17,0.89184313
8,48739.906,46426.74337890625,51128.36724609375,1.54157428346236,1.0658181372194286,2.175571569805044,66780.0,0.31,6.9,0.003290474847042,0.0052529256547175,0.0488382683887823,0.19,0.31,6.9,0.003290474847042,0.31,6.9,0.003290474847042,169036,202.358,0.01222,4.32049e-09,181.133,0.0204369,1.1653000000000001e-24,145.645,0.0217814,5.92835e-28,0.46385744
11,27771.78,26384.78658203125,29233.971728515626,1.9223003766315288,1.152667280306034,3.3220059393245784,104940.0,0.31,5.6,0.003336576862059,0.0041907897336608,0.048296402990667,0.2,0.311,5.67,0.0023282254371208,0.311,5.67,0.0023282254371208,354172,153.219,0.011302,4.51256e-12,135.372,0.0195342,3.244380000000001e-35,108.907,0.0214013,3.48876e-42,0.61921078
14,15175.327,14446.182202148437,15943.683618164065,1.705794818261413,1.083742452596842,3.005844385384606,162180.0,0.34,7.0,0.0028282087059341,0.003371320732074,0.0558588887178043,0.21,0.339,6.9,0.0028194530782438,0.339,6.9,0.0028194530782438,243270,113.486,0.0113221,1.73553e-18,100.709,0.0198722,4.58333e-56,81.3609,0.0216434,1.9968499999999998e-66,0.15143357
17,8489.967,8074.9392578125,8925.657485351563,1.7715885267107243,1.1085786338671413,3.490514084967369,257580.0,0.34,5.5,0.0014878686981455,0.0026752851133031,0.0551109106893927,0.22,0.339,5.41,0.001387177294918,0.339,5.41,0.001387177294918,977998,84.5721,0.0120572,5.906920000000001e-33,74.4124,0.0173596,7.394129999999999e-68,59.916,0.0202621,2.7129099999999983e-92,0.70397697
20,4270.1167,4059.781999511719,4497.9746875,1.9561996461227336,1.1437148451988162,5.900500633457273,381600.0,0.35,4.7,0.0009142130702565,0.0021980660924352,0.0457783506114154,0.23,0.35,4.7,0.0009142130702565,0.35,4.7,0.0009142130702565,2173330,59.8929,0.0122115,7.400979999999999e-50,52.5694,0.0171939,2.0044399999999988e-98,42.4003,0.0201557,4.259569999999998e-135,0.90695252
23,2001.448,1901.4484185791016,2108.50064819336,2.041855759894392,1.2526940818956651,3.881747298536446,610560.0,0.37,4.3,0.0021684655749866,0.0017377962858799,0.0382317582917409,0.24,0.369,4.26,0.0015469386253499,0.369,4.26,0.0015469386253499,772740,40.7078,0.0127627,8.153409999999995e-87,35.9676,0.0173903,7.995349999999997e-161,29.0145,0.0199494,1.6535199999999996e-211,0.10750655
26,805.73254,756.1401196289063,869.2768804931642,5.035482695633773,1.8246825383804928,19.982925355144737,973080.0,0.39,3.4,0.0017241389546912,0.0013765848003003,0.0383265087344482,0.26,0.39,3.42,0.0009875166271209,0.39,3.42,0.0009875166271209,1847331,25.2574,0.013582,2.370699999999999e-156,22.2689,0.0164899,2.8612499999999997e-230,17.9327,0.0186762,2.9134799999999996e-295,0.29856988
29,254.74072,229.8784866333008,294.46869308471685,20.92268509079589,4.499840040853719,88.63336308299715,1376940.0,0.43,2.6,0.0020862380669265,0.0011572531101864,0.0274146022664537,0.3,0.428,2.53,0.0018611503747357,0.428,2.53,0.0018611503747357,516352,13.3534,0.0144696,7.80188e-251,11.7485,0.015915,2.3237800000000004e-303,9.50498,0.0176301,0.0,0.00014378298
32,21.90403,20.86936589241028,22.976417598724368,1.4744661824708905,0.9926829596389716,2.4855538977600524,419760.0,0.62,2.5,0.0019596527303885,0.0020957932105484,0.024638592209093,0.41,0.624,2.58,0.001683659391277,0.624,2.58,0.001683659391277,629640,4.32838,0.0114269,4.88891e-48,3.82743,0.0189135,7.256999999999997e-131,3.07904,0.02107,2.613479999999999e-162,0.1847852
