band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,157269.88,149264.115546875,165654.37648437504,2.019592929404322,1.4713488972830897,2.704435950580284,31800.0,0.28,6.0,0.0045451803427273,0.0076105772670922,0.0459783352319845,0.18,0.279,5.9,0.004324301509473,0.279,5.9,0.004324301509473,101871,354.051,0.0159097,2.01678e-07,313.807,0.0165229,5.68985e-08,255.195,0.0191431,1.48848e-10,0.59018345
5,83422.35,79257.1659375,87787.9315625,1.9039825295327724,1.275783476965329,2.832161703489285,41340.0,0.3,7.0,0.0034431634899998,0.0066754871311422,0.0651895603659832,0.19,0.3,7.01,0.0034253847240608,0.3,7.01,0.0034253847240608,156961,262.91,0.0136523,4.01987e-07,231.525,0.0178714,6.71006e-12,186.687,0.0201312,5.51976e-15,0.71576646
8,45610.926,43328.33033203125,47969.34458984376,1.937604310629048,1.3123015438002692,2.8375483275062785,66780.0,0.3,5.6,0.0033045184064479,0.0052529256547175,0.0529197639436897,0.19,0.299,5.51,0.0032874962654681,0.299,5.51,0.0032874962654681,169036,193.285,0.0142752,2.99359e-12,171.982,0.0183317,6.337100000000001e-20,138.164,0.0202922,2.56089e-24,0.46502568
11,25793.922,24441.88783203125,27232.032421875003,2.370253207183583,1.3658777920827772,4.514506717870704,104940.0,0.32,6.3,0.0029474386932551,0.0041907897336608,0.0404592091538025,0.2,0.32,6.29,0.0025816765488427,0.32,6.29,0.0025816765488427,265629,145.415,0.0130431,6.16715e-16,128.663,0.0178971,1.25317e-29,103.635,0.0200984,2.9678600000000003e-37,0.48553543
14,14051.502,13346.594384765624,14808.06669433594,2.089290984610892,1.2751458159178972,4.009897707978745,162180.0,0.33,5.8,0.0027655635726817,0.003371320732074,0.0479751482729025,0.21,0.331,5.87,0.0025804627773221,0.331,5.87,0.0025804627773221,273678,107.902,0.0128709,9.126700000000001e-24,95.83,0.0189211,7.241349999999999e-51,77.0999,0.0204552,2.2309699999999995e-59,0.22993799
17,7919.1426,7515.967126464844,8348.544077148437,2.151878615286189,1.2933547809303674,4.51329265157181,257580.0,0.33,4.5,0.0026296412847192,0.0026752851133031,0.0484381823795747,0.22,0.33,4.54,0.0008907953065492,0.33,4.54,0.0008907953065492,2349843,80.7485,0.0136161,6.547369999999999e-42,71.2726,0.0168844,3.23755e-64,57.181,0.0193485,3.4004999999999986e-84,0.9866346
20,4052.6973,3844.855645751953,4287.258894042969,2.416864364726531,1.276759486873233,9.097824510685848,381600.0,0.34,3.9,0.0028775822856249,0.0021980660924352,0.0407625061527092,0.23,0.341,3.99,0.0016576592055572,0.341,3.99,0.0016576592055572,643950,57.7597,0.0133762,9.778239999999997e-60,50.8649,0.0168027,5.138369999999997e-94,41.0259,0.0194574,6.306279999999997e-126,0.24488844
23,1979.6365,1878.425589599609,2088.5791137695314,2.2481487435794323,1.3707933585696574,4.596757654938451,610560.0,0.37,4.3,0.0027997507962924,0.0017377962858799,0.039113702188406,0.24,0.369,4.21,0.0011261964960057,0.369,4.21,0.0011261964960057,1466997,40.2707,0.0132049,6.623609999999996e-93,35.5279,0.0168254,1.4279199999999992e-150,28.6819,0.0194058,3.681569999999999e-200,0.42063494
26,868.0049,815.8723529052735,934.2968762207032,4.653831204791653,1.6947180855929826,18.9981304460308,973080.0,0.39,3.6,0.0019934210539457,0.0013765848003003,0.0337292168972023,0.26,0.391,3.62,0.0008933205426189,0.391,3.62,0.0008933205426189,2338027,26.3327,0.0134734,7.219539999999996e-154,23.2009,0.0165567,3.894989999999999e-232,18.6874,0.0188167,1.02645e-299,0.4189416
29,329.39447,302.999197845459,371.5748420715333,13.155253839187608,2.8388611532309307,66.0983641130641,1376940.0,0.43,3.2,0.0015141766024994,0.0011572531101864,0.0288332575517447,0.29,0.428,3.13,0.0014016629066039,0.428,3.13,0.0014016629066039,980262,15.7502,0.0133908,6.903889999999999e-215,13.8485,0.0163491,,11.1905,0.0186527,0.0,0.0089310424
32,44.476166,42.37670640945434,46.64084260940552,1.45971231425142,1.005672161892362,2.262222017059093,419760.0,0.55,2.7,0.0020080751975131,0.0020957932105484,0.028117985419922,0.37,0.547,2.65,0.00165534937,0.547,2.65,0.00165534937,708345,6.16725,0.011813,2.6144899999999998e-51,5.42934,0.0184692,8.269799999999996e-125,4.37047,0.0208066,2.7523899999999984e-158,0.2000081
