band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,31800.0,0.28,6.0,0.0045451803427273,0.279,5.9,0.00432430150947305,101871
5,41340.0,0.3,7.0,0.0034431634899998,0.3,7.01,0.0034253847240608426,156961
8,66780.0,0.3,5.6,0.0033045184064479,0.299,5.51,0.0032874962654681483,169036
11,104940.0,0.32,6.3,0.0029474386932551,0.32,6.29,0.0025816765488427262,265629
14,162180.0,0.33,5.8,0.0027655635726817,0.331,5.87,0.0025804627773221567,273678
17,257580.0,0.33,4.5,0.0026296412847192,0.33,4.54,0.0008907953065492857,2349843
20,381600.0,0.34,3.9,0.0028775822856249,0.341,3.99,0.0016576592055572714,643950
23,610560.0,0.37,4.3,0.0027997507962924,0.369,4.21,0.0011261964960057602,1466997
26,973080.0,0.39,3.6,0.0019934210539457,0.391,3.62,0.000893320542618925,2338027
29,1376940.0,0.43,3.2,0.0015141766024994,0.428,3.13,0.0014016629066039288,980262
32,419760.0,0.55,2.7,0.0020080751975131,0.547,2.65,0.0016553493700000588,708345
