layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
0.3162,2.063358144451241,1.706681340570844,2.477069037600263,3.5065919958097354,1.4930484689190244,6.926868188488358,10000.0
0.4549,2.060608235099276,1.6917495578664403,2.4351327580204285,2.697154132097973,1.3124066733116657,4.876062134868357,10000.0
0.6543,2.0471751974185057,1.7117113854739614,2.427717404630239,2.856123541008558,1.4796673422268198,4.49428735175807,10000.0
0.70710678,1.906273693962711,1.5913728867918338,2.2353003343954723,2.4479607136533135,1.1627345327651792,4.6212925412102726,10000.0
0.9412,1.9793948845456215,1.627043132642589,2.360312253048967,3.035933248483625,1.3490178499025207,5.786058961833731,10000.0
1.354,1.9465254801721044,1.615164059575907,2.2772203783458966,2.9871124303472048,1.2669962262645083,5.182565360442155,10000.0
1.947,2.0036988105884554,1.667890866486038,2.3877339438465617,3.030883691841101,1.5035211031034503,4.980338467151095,10000.0
2.801,2.027766831955882,1.6854068429698832,2.4330224137452174,3.2642791183044437,1.4037482715469567,5.947488298722055,10000.0
4.03,2.050636623030266,1.7006584796949384,2.4236803069201103,3.056230666443912,1.4132752944891038,8.070180615490516,10000.0
5.796,1.9626695320452476,1.635764828528308,2.298103530464988,2.633936924349361,1.2864341894369673,4.72521797179403,10000.0
8.338,2.0193787267596126,1.6657163984302876,2.4031823458295847,2.948190906749323,1.2562764624632579,5.507043041789441,10000.0
11.99,2.023944178348027,1.67478363258419,2.449168869098761,3.4044398689922852,1.357185187609127,7.242809227504058,10000.0
17.25,1.991439157881218,1.6719633914812069,2.3385126887596486,2.5403425307748595,1.2351986754907596,5.312530199903434,10000.0
24.82,1.983736519365188,1.6510828936304183,2.3393905147585494,3.108203055325001,1.504915794852538,6.340999002763463,10000.0
35.7,1.9963600959994423,1.691994469878947,2.320090842112092,2.6063347788706235,1.2546179736177543,4.606067416595405,10000.0
51.35,1.9416362764779278,1.5962605062756294,2.3303292410241907,3.1501287656306243,1.4390280411005212,6.0207371506547895,10000.0
73.86,2.030274151501852,1.6723663799240063,2.408184315929594,2.9216224224280456,1.6258058320365372,4.679421942676893,10000.0
106.2,1.969621592450011,1.6156745016633705,2.3589932270905836,3.524319718180654,1.462271353925301,7.334407403945881,10000.0
152.8,2.0287887552751074,1.6419381699855753,2.418077608133638,2.9326035924325584,1.2493882453770184,6.054737426029431,10000.0
219.8,2.0206348818254685,1.6579571394844719,2.438519769126182,3.640534413154424,1.3048913553361825,12.031535282402904,10000.0
316.2,2.0629232417272085,1.6943266646339152,2.465307795474749,3.441116324677968,1.5423357232743466,6.21267603384574,10000.0
