layer,best_r,best_eta,kstest_stat_best,identifier
2,0.42,5.679,0.0175198663265163,approx1e5
3,0.5089,7.211,0.0042210892157178,approx1e5
4,0.4354,1.3,0.0052863017168822,approx1e5
5,0.4591,0.10991,0.0035924085251274,approx1e5
6,0.51779,-0.57791,0.0035377846781623,approx1e5
7,0.97379,-0.9,0.0102481581563326,approx1e5
8,1.4509,-1.2159,0.0450432889818194,approx1e5
2,0.42,5.679,0.0175198663265163,full
3,0.5089,7.211,0.0042210892157178,full
4,0.4354,1.3,0.0052863017168822,full
5,0.4591,0.1099,0.0035907108938494,full
6,0.51779,-0.57791,0.0035360644518124,full
7,0.97389,-0.89999,0.0102435480309303,full
8,1.4509,-1.2159,0.0450394186005297,full
